date_time,Unnamed: 0,ask,bid,ask_volume,bid_volume
2021-01-03 22:30:31.350,443,1.22415,1.22399,7.5,3.6
2021-01-03 22:30:31.613,444,1.22416,1.22399,7.5,3.6
2021-01-03 22:30:32.046,445,1.22415,1.22399,7.5,3.75
2021-01-03 22:30:34.305,446,1.22421,1.22399,0.37,3.75
2021-01-03 22:30:35.238,447,1.22398,1.22384,0.75,0.19
2021-01-03 22:30:35.289,448,1.22398,1.22381,0.75,7.69
2021-01-03 22:30:35.390,449,1.22396,1.22382,0.19,7.69
2021-01-03 22:30:35.492,450,1.22395,1.22381,0.94,0.19
2021-01-03 22:30:36.060,451,1.22392,1.22381,0.19,0.19
2021-01-03 22:30:36.492,452,1.22393,1.22381,0.75,0.19
2021-01-03 22:30:36.543,453,1.22399,1.22395,0.37,0.19
2021-01-03 22:30:36.594,454,1.22406,1.22399,0.75,0.75
2021-01-03 22:30:36.645,455,1.22407,1.22391,7.5,3.0
2021-01-03 22:30:36.696,456,1.22391,1.22389,0.19,7.5
2021-01-03 22:30:36.798,457,1.22394,1.22389,7.65,7.5
2021-01-03 22:30:36.849,458,1.22389,1.22384,1.69,5.98
2021-01-03 22:30:36.951,459,1.22389,1.22381,1.69,0.19
2021-01-03 22:30:37.277,460,1.22389,1.22385,1.69,5.98
2021-01-03 22:30:37.340,461,1.22389,1.22381,1.69,0.19
2021-01-03 22:30:38.422,462,1.22388,1.22385,1.69,5.98
2021-01-03 22:30:38.597,463,1.22388,1.22385,0.19,5.98
2021-01-03 22:30:38.648,464,1.22389,1.22381,0.75,0.19
2021-01-03 22:30:38.699,465,1.22386,1.22381,0.19,0.19
2021-01-03 22:30:41.171,466,1.22384,1.22381,0.75,0.19
2021-01-03 22:30:45.644,467,1.22382,1.22378,0.19,0.34
2021-01-03 22:30:46.323,468,1.22384,1.22381,0.75,0.19
2021-01-03 22:30:46.475,469,1.22374,1.22368,3.75,7.5
2021-01-03 22:30:46.628,470,1.22375,1.22372,3.75,0.94
2021-01-03 22:30:46.679,471,1.2238,1.22373,7.55,0.75
2021-01-03 22:30:46.932,472,1.22388,1.22373,0.94,0.75
